Country,Posting Date,Brand,Daily Sales
Country 1,26.07.2016,Brand A,"19,055.88"
Country 1,27.07.2016,Brand A,"11,234.12"
Country 1,28.07.2016,Brand A,20.24
Country 1,29.07.2016,Brand A,121.50
Country 1,31.07.2016,Brand A,"1,386.33"
Country 1,01.08.2016,Brand A,"25,082.81"
Country 1,02.08.2016,Brand A,"17,875.82"
Country 1,03.08.2016,Brand A,"10,935.44"
Country 1,05.08.2016,Brand A,20.24
Country 1,08.08.2016,Brand A,"30,418.12"
Country 1,09.08.2016,Brand A,"20,195.45"
Country 1,10.08.2016,Brand A,"8,002.13"
Country 1,12.08.2016,Brand A,30.37
Country 1,15.08.2016,Brand A,"25,746.67"
Country 1,16.08.2016,Brand A,"17,279.70"
Country 1,17.08.2016,Brand A,"16,090.98"
Country 1,18.08.2016,Brand A,50.60
Country 1,19.08.2016,Brand A,80.98
Country 1,22.08.2016,Brand A,"27,498.24"
Country 1,23.08.2016,Brand A,"25,720.02"
Country 1,24.08.2016,Brand A,"13,683.58"
Country 1,25.08.2016,Brand A,9.99
Country 1,29.08.2016,Brand A,"27,607.16"
Country 1,30.08.2016,Brand A,"23,514.17"
Country 1,31.08.2016,Brand A,"13,515.31"
Country 1,01.09.2016,Brand A,"33,720.44"
Country 1,06.09.2016,Brand A,"32,009.40"
Country 1,07.09.2016,Brand A,"12,470.15"
Country 1,08.09.2016,Brand A,150.03
Country 1,09.09.2016,Brand A,10.00
Country 1,12.09.2016,Brand A,"18,691.02"
Country 1,13.09.2016,Brand A,"31,598.89"
Country 1,14.09.2016,Brand A,"20,950.75"
Country 1,19.09.2016,Brand A,"27,191.98"
Country 1,20.09.2016,Brand A,"33,793.09"
Country 1,21.09.2016,Brand A,"15,598.47"
Country 1,23.09.2016,Brand A,30.00
Country 1,26.09.2016,Brand A,"26,893.84"
Country 1,27.09.2016,Brand A,"33,990.23"
Country 1,28.09.2016,Brand A,"17,752.61"
Country 1,29.09.2016,Brand A,60.51
Country 1,30.09.2016,Brand A,"-9,693.27"
Country 1,03.10.2016,Brand A,"23,288.81"
Country 1,04.10.2016,Brand A,"30,897.14"
Country 1,05.10.2016,Brand A,"15,400.19"
Country 1,06.10.2016,Brand A,120.03
Country 1,07.10.2016,Brand A,428.29
Country 1,10.10.2016,Brand A,"26,447.28"
Country 1,11.10.2016,Brand A,"32,152.91"
Country 1,12.10.2016,Brand A,"13,681.46"
Country 1,13.10.2016,Brand A,362.13
Country 1,17.10.2016,Brand A,"32,110.04"
Country 1,18.10.2016,Brand A,"26,789.35"
Country 1,19.10.2016,Brand A,"12,015.76"
Country 1,20.10.2016,Brand A,301.78
Country 1,21.10.2016,Brand A,30.18
Country 1,24.10.2016,Brand A,"26,545.44"
Country 1,25.10.2016,Brand A,"31,629.09"
Country 1,26.10.2016,Brand A,"13,254.56"
Country 1,27.10.2016,Brand A,100.60
Country 1,28.10.2016,Brand A,-593.84
Country 1,31.10.2016,Brand A,"27,045.38"
Country 1,01.11.2016,Brand A,"19,622.44"
Country 1,02.11.2016,Brand A,"10,337.78"
Country 1,03.11.2016,Brand A,50.31
Country 1,04.11.2016,Brand A,20.12
Country 1,07.11.2016,Brand A,"21,573.46"
Country 1,08.11.2016,Brand A,"27,772.67"
Country 1,09.11.2016,Brand A,"18,041.09"
Country 1,10.11.2016,Brand A,-61.40
Country 1,14.11.2016,Brand A,"23,819.38"
Country 1,15.11.2016,Brand A,"26,995.13"
Country 1,16.11.2016,Brand A,"11,766.19"
Country 1,17.11.2016,Brand A,20.11
Country 1,18.11.2016,Brand A,30.16
Country 1,21.11.2016,Brand A,"23,498.86"
Country 1,22.11.2016,Brand A,"50,723.33"
Country 1,28.11.2016,Brand A,"21,972.35"
Country 1,29.11.2016,Brand A,"28,515.78"
Country 1,30.11.2016,Brand A,489.49
Country 1,02.12.2016,Brand A,10.05
Country 1,05.12.2016,Brand A,"26,053.92"
Country 1,06.12.2016,Brand A,"40,581.72"
Country 1,07.12.2016,Brand A,"19,082.86"
Country 1,08.12.2016,Brand A,10.05
Country 1,12.12.2016,Brand A,"23,988.34"
Country 1,13.12.2016,Brand A,"28,881.92"
Country 1,14.12.2016,Brand A,"14,261.80"
Country 1,15.12.2016,Brand A,90.48
Country 1,19.12.2016,Brand A,"23,120.12"
Country 1,20.12.2016,Brand A,"26,270.00"
Country 1,21.12.2016,Brand A,"15,519.68"
Country 1,22.12.2016,Brand A,"1,083.16"
Country 1,27.12.2016,Brand A,"56,341.03"
Country 1,28.12.2016,Brand A,"7,356.20"
Country 1,29.12.2016,Brand A,90.47
Country 1,31.12.2016,Brand A,34.91
Country 1,03.01.2017,Brand A,"64,924.82"
Country 1,04.01.2017,Brand A,"16,197.99"
Country 1,05.01.2017,Brand A,130.66
Country 1,09.01.2017,Brand A,"12,028.83"
Country 1,10.01.2017,Brand A,"18,224.97"
Country 1,11.01.2017,Brand A,"16,209.75"
Country 1,13.01.2017,Brand A,"-5,889.69"
Country 1,16.01.2017,Brand A,"20,560.21"
Country 1,17.01.2017,Brand A,"20,263.79"
Country 1,18.01.2017,Brand A,"10,673.29"
Country 1,19.01.2017,Brand A,28.77
Country 1,23.01.2017,Brand A,"25,321.42"
Country 1,24.01.2017,Brand A,"6,839.43"
Country 1,25.01.2017,Brand A,"17,955.97"
Country 1,26.01.2017,Brand A,19.19
Country 1,30.01.2017,Brand A,"16,684.00"
Country 1,31.01.2017,Brand A,"7,365.78"
Country 1,01.02.2017,Brand A,"15,803.71"
Country 1,02.02.2017,Brand A,9.59
Country 1,03.02.2017,Brand A,9.59
Country 1,06.02.2017,Brand A,"23,398.08"
Country 1,07.02.2017,Brand A,"19,392.68"
Country 1,08.02.2017,Brand A,"19,153.53"
Country 1,09.02.2017,Brand A,"-5,607.90"
Country 1,13.02.2017,Brand A,"20,126.03"
Country 1,14.02.2017,Brand A,"19,233.21"
Country 1,15.02.2017,Brand A,"15,373.61"
Country 1,20.02.2017,Brand A,"21,184.43"
Country 1,21.02.2017,Brand A,"24,704.75"
Country 1,22.02.2017,Brand A,"8,819.73"
Country 1,23.02.2017,Brand A,179.32
Country 1,24.02.2017,Brand A,9.44
Country 1,27.02.2017,Brand A,"17,331.29"
Country 1,28.02.2017,Brand A,"28,827.40"
Country 1,01.03.2017,Brand A,"9,493.81"
Country 1,02.03.2017,Brand A,141.57
Country 1,06.03.2017,Brand A,"13,992.02"
Country 1,07.03.2017,Brand A,"25,650.66"
Country 1,08.03.2017,Brand A,"12,717.25"
Country 1,09.03.2017,Brand A,"2,996.19"
Country 1,10.03.2017,Brand A,58.18
Country 1,13.03.2017,Brand A,"9,651.32"
Country 1,15.03.2017,Brand A,"63,399.00"
Country 1,16.03.2017,Brand A,9.70
Country 1,20.03.2017,Brand A,"23,527.40"
Country 1,21.03.2017,Brand A,"26,183.44"
Country 1,22.03.2017,Brand A,"14,372.13"
Country 1,27.03.2017,Brand A,"20,640.74"
Country 1,28.03.2017,Brand A,"35,675.51"
Country 1,29.03.2017,Brand A,"14,092.78"
Country 1,30.03.2017,Brand A,"-1,929.17"
Country 1,31.03.2017,Brand A,"-2,158.40"
Country 1,03.04.2017,Brand A,"16,079.49"
Country 1,04.04.2017,Brand A,"29,657.45"
Country 1,05.04.2017,Brand A,"15,256.82"
Country 1,07.04.2017,Brand A,272.32
Country 1,10.04.2017,Brand A,"28,752.33"
Country 1,11.04.2017,Brand A,"44,108.84"
Country 1,12.04.2017,Brand A,"19,965.58"
Country 1,13.04.2017,Brand A,20.34
Country 1,17.04.2017,Brand A,"26,592.20"
Country 1,18.04.2017,Brand A,"40,253.63"
Country 1,19.04.2017,Brand A,"18,168.83"
Country 1,21.04.2017,Brand A,-3.32
Country 1,24.04.2017,Brand A,"28,277.95"
Country 1,25.04.2017,Brand A,"40,576.31"
Country 1,26.04.2017,Brand A,"15,756.72"
Country 1,27.04.2017,Brand A,621.94
Country 1,28.04.2017,Brand A,30.51
Country 1,01.05.2017,Brand A,"28,599.50"
Country 1,02.05.2017,Brand A,"32,825.39"
Country 1,03.05.2017,Brand A,"15,475.24"
Country 1,05.05.2017,Brand A,31.41
Country 1,08.05.2017,Brand A,"12,837.44"
Country 1,09.05.2017,Brand A,"36,485.74"
Country 1,10.05.2017,Brand A,"17,408.64"
Country 1,15.05.2017,Brand A,"32,279.26"
Country 1,16.05.2017,Brand A,"28,625.62"
Country 1,17.05.2017,Brand A,"16,504.37"
Country 1,18.05.2017,Brand A,52.34
Country 1,22.05.2017,Brand A,"30,366.49"
Country 1,23.05.2017,Brand A,"26,956.15"
Country 1,24.05.2017,Brand A,"10,102.90"
Country 1,26.05.2017,Brand A,10.47
Country 1,30.05.2017,Brand A,"57,042.88"
Country 1,31.05.2017,Brand A,"4,484.27"
Country 1,01.06.2017,Brand A,94.22
Country 1,05.06.2017,Brand A,"30,273.01"
Country 1,06.06.2017,Brand A,"22,974.00"
Country 1,07.06.2017,Brand A,"14,467.04"
Country 1,09.06.2017,Brand A,10.47
Country 1,12.06.2017,Brand A,"23,858.47"
Country 1,13.06.2017,Brand A,"23,252.36"
Country 1,14.06.2017,Brand A,"6,734.66"
Country 1,16.06.2017,Brand A,73.30
Country 1,19.06.2017,Brand A,"24,971.48"
Country 1,20.06.2017,Brand A,"36,776.22"
Country 1,21.06.2017,Brand A,"14,217.61"
Country 1,22.06.2017,Brand A,20.94
Country 1,26.06.2017,Brand A,"28,651.25"
Country 1,27.06.2017,Brand A,"41,474.40"
Country 1,28.06.2017,Brand A,"15,839.36"
Country 1,29.06.2017,Brand A,-257.75
Country 1,30.06.2017,Brand A,"-6,753.80"
Country 1,05.07.2017,Brand A,"63,857.47"
Country 1,06.07.2017,Brand A,81.48
Country 1,10.07.2017,Brand A,"19,220.49"
Country 1,12.07.2017,Brand A,"47,243.94"
Country 1,13.07.2017,Brand A,21.12
Country 1,17.07.2017,Brand A,"28,004.89"
Country 1,18.07.2017,Brand A,"29,600.77"
Country 1,19.07.2017,Brand A,"16,383.25"
Country 1,21.07.2017,Brand A,73.93
Country 1,24.07.2017,Brand A,"16,859.46"
Country 1,25.07.2017,Brand A,"26,857.93"
Country 1,26.07.2017,Brand A,"12,935.30"
Country 1,27.07.2017,Brand A,-97.61
Country 1,28.07.2017,Brand A,-274.48
Country 1,31.07.2017,Brand A,"35,145.46"
Country 1,01.08.2017,Brand A,"20,878.74"
Country 1,02.08.2017,Brand A,"9,402.86"
Country 1,07.08.2017,Brand A,"23,496.83"
Country 1,08.08.2017,Brand A,"25,186.27"
Country 1,09.08.2017,Brand A,"11,823.66"
Country 1,14.08.2017,Brand A,"26,781.77"
Country 1,15.08.2017,Brand A,"18,747.05"
Country 1,16.08.2017,Brand A,"13,371.66"
Country 1,17.08.2017,Brand A,42.23
Country 1,21.08.2017,Brand A,"31,131.75"
Country 1,22.08.2017,Brand A,"26,885.21"
Country 1,23.08.2017,Brand A,"12,932.01"
Country 1,24.08.2017,Brand A,84.47
Country 1,28.08.2017,Brand A,"23,647.86"
Country 1,29.08.2017,Brand A,"24,922.20"
Country 1,30.08.2017,Brand A,"10,302.77"
Country 1,31.08.2017,Brand A,"4,724.04"
Country 1,05.09.2017,Brand A,"63,252.09"
Country 1,06.09.2017,Brand A,"6,509.20"
Country 1,11.09.2017,Brand A,"16,929.63"
Country 1,12.09.2017,Brand A,"30,001.84"
Country 1,13.09.2017,Brand A,"22,200.30"
Country 1,14.09.2017,Brand A,10.56
Country 1,18.09.2017,Brand A,"31,882.40"
Country 1,19.09.2017,Brand A,"35,893.78"
Country 1,20.09.2017,Brand A,"12,879.29"
Country 1,25.09.2017,Brand A,"26,507.02"
Country 1,26.09.2017,Brand A,"18,701.05"
Country 1,27.09.2017,Brand A,"10,570.11"
Country 1,28.09.2017,Brand A,348.64
Country 1,02.10.2017,Brand A,"26,873.53"
Country 1,03.10.2017,Brand A,"31,765.03"
Country 1,04.10.2017,Brand A,"12,339.62"
Country 1,05.10.2017,Brand A,175.09
Country 1,06.10.2017,Brand A,10.64
Country 1,09.10.2017,Brand A,"22,001.87"
Country 1,10.10.2017,Brand A,"34,702.45"
Country 1,11.10.2017,Brand A,"13,172.10"
Country 1,12.10.2017,Brand A,138.23
Country 1,16.10.2017,Brand A,"32,094.89"
Country 1,17.10.2017,Brand A,"28,680.56"
Country 1,18.10.2017,Brand A,"17,754.85"
Country 1,19.10.2017,Brand A,31.90
Country 1,20.10.2017,Brand A,21.27
Country 1,23.10.2017,Brand A,"13,545.31"
Country 1,24.10.2017,Brand A,"31,081.21"
Country 1,25.10.2017,Brand A,"10,904.83"
Country 1,27.10.2017,Brand A,31.90
Country 1,30.10.2017,Brand A,"27,405.53"
Country 1,31.10.2017,Brand A,"25,437.27"
Country 1,01.11.2017,Brand A,"14,072.07"
Country 1,02.11.2017,Brand A,63.82
Country 1,03.11.2017,Brand A,21.27
Country 1,06.11.2017,Brand A,"27,138.17"
Country 1,07.11.2017,Brand A,"32,312.95"
Country 1,08.11.2017,Brand A,"10,416.46"
Country 1,10.11.2017,Brand A,31.96
Country 1,13.11.2017,Brand A,"24,261.63"
Country 1,14.11.2017,Brand A,"23,686.15"
Country 1,15.11.2017,Brand A,"14,940.75"
Country 1,16.11.2017,Brand A,42.61
Country 1,17.11.2017,Brand A,74.57
Country 1,20.11.2017,Brand A,"29,348.57"
Country 1,21.11.2017,Brand A,"45,660.54"
Country 1,22.11.2017,Brand A,479.36
Country 1,04.12.2017,Brand A,"30,638.05"
Country 1,05.12.2017,Brand A,"31,679.45"
Country 1,06.12.2017,Brand A,"15,902.27"
Country 1,07.12.2017,Brand A,398.49
Country 1,11.12.2017,Brand A,"32,980.70"
Country 1,12.12.2017,Brand A,"42,745.54"
Country 1,13.12.2017,Brand A,"16,133.60"
Country 1,14.12.2017,Brand A,42.53
Country 1,18.12.2017,Brand A,"19,937.61"
Country 1,19.12.2017,Brand A,"19,080.00"
Country 1,20.12.2017,Brand A,-604.42
Country 1,21.12.2017,Brand A,21.26
Country 1,02.01.2018,Brand A,"76,685.95"
Country 1,03.01.2018,Brand A,244.82
Country 1,04.01.2018,Brand A,"13,394.63"
Country 1,08.01.2018,Brand A,"20,530.46"
Country 1,09.01.2018,Brand A,"35,886.92"
Country 1,10.01.2018,Brand A,"3,611.24"
Country 1,11.01.2018,Brand A,"10,816.09"
Country 1,15.01.2018,Brand A,"19,042.57"
Country 1,16.01.2018,Brand A,"30,941.85"
Country 1,17.01.2018,Brand A,"10,619.04"
Country 1,22.01.2018,Brand A,"21,428.55"
Country 1,23.01.2018,Brand A,"21,467.63"
Country 1,24.01.2018,Brand A,"9,300.79"
Country 1,25.01.2018,Brand A,42.85
Country 1,01.02.2018,Brand A,10.21
Country 1,05.02.2018,Brand A,"16,747.51"
Country 1,06.02.2018,Brand A,"27,845.71"
Country 1,07.02.2018,Brand A,"10,769.15"
Country 1,12.02.2018,Brand A,"25,451.79"
Country 1,13.02.2018,Brand A,"16,861.15"
Country 1,14.02.2018,Brand A,"11,305.37"
Country 1,19.02.2018,Brand A,"25,179.30"
Country 1,20.02.2018,Brand A,"13,206.75"
Country 1,21.02.2018,Brand A,"10,384.85"
Country 1,23.02.2018,Brand A,20.41
